id,spkid,full_name,pdes,name,prefix,neo,pha,H,diameter,albedo,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,rms
a0000308,2000308,   308 Polyxo,308,Polyxo,,N,N,8.1,128.578,0.047,1.557,JPL 90,2459000.5,59000,20200531,J2000,0.040308976,2.750310388,2.639448194,4.360690463,181.6139544,113.0064024,15.60385235,2.861172583,0.216088428,2458928.29,20200319.79,1665.984631,4.561217334,1.62747,633.3624999,3.05E-08,7.13E-09,8.59E-08,3.43E-06,4.53E-05,6.55E-05,4.85E-05,7.42E-09,8.41E-10,0.0002245,6.48E-06,MBA,0.43253
a0000309,2000309,   309 Fraternitas,309,Fraternitas,,N,N,10.6,41.075,0.056,0.169,JPL 50,2459000.5,59000,20200531,J2000,0.113593485,2.665731634,2.362921888,3.713873217,356.5135532,310.8132836,147.0296072,2.968541381,0.226453707,2458351.23,20180820.73,1589.728886,4.352440482,1.35028,525.4884676,2.78E-08,6.67E-09,7.28E-08,3.01E-06,4.94E-05,5.15E-05,1.48E-05,7.43E-09,8.50E-10,6.50E-05,5.96E-06,MBA,0.4228
a0000310,2000310,   310 Margarita,310,Margarita,,N,N,10.1,33.708,0.115,0.242,JPL 37,2459000.5,59000,20200531,J2000,0.114200366,2.764561127,2.448847236,3.169927301,229.2406815,325.289382,77.81325159,3.080275018,0.214419747,2458637.598,20190603.1,1678.949844,4.596714152,1.44846,563.6971782,4.27E-08,9.50E-09,1.19E-07,4.38E-06,6.99E-05,7.18E-05,1.63E-05,1.06E-08,1.11E-09,7.57E-05,8.65E-06,MBA,0.46027
a0000311,2000311,   311 Claudia,311,Claudia,,N,N,10,26.3,0.322,0.378,JPL 39,2459000.5,59000,20200531,J2000,0.004196072,2.898851364,2.886687577,3.224799091,80.99356504,86.80284953,144.3200894,2.911015152,0.199694062,2458277.794,20180608.29,1802.757656,4.935681469,1.88314,732.8615938,3.47E-08,1.17E-08,1.00E-07,4.35E-06,6.97E-05,0.00055851,0.00055284,1.17E-08,1.21E-09,0.0027693,1.09E-05,MBA,0.42161
a0000312,2000312,   312 Pierretta,312,Pierretta,,N,N,8.8,46.191,0.23,0.411,JPL 47,2459000.5,59000,20200531,J2000,0.159817534,2.782272757,2.337616786,9.029343582,6.254767002,262.7641306,339.6931933,3.226928728,0.212375551,2459096.117,20200903.62,1695.110374,4.640959272,1.34329,522.7681693,3.49E-08,9.57E-09,9.89E-08,4.25E-06,2.54E-05,2.89E-05,1.53E-05,1.11E-08,1.10E-09,7.20E-05,8.75E-06,MBA,0.4299
a0000313,2000313,   313 Chaldaea,313,Chaldaea,,N,N,9,71.183,0.039,0.279,JPL 92,2459000.5,59000,20200531,J2000,0.182030374,2.374572956,1.942328552,11.65129104,176.5810363,316.0254246,279.2840772,2.806817359,0.269355469,2459300.163,20210326.66,1336.523818,3.659202788,0.97232,378.3977744,3.32E-08,3.40E-09,7.86E-08,3.84E-06,1.46E-05,1.69E-05,9.48E-06,4.01E-09,5.78E-10,3.54E-05,2.87E-06,MBA,0.50912
a0000314,2000314,   314 Rosalia,314,Rosalia,,N,N,9.9,60.689,0.043,0.284,JPL 47,2459000.5,59000,20200531,J2000,0.171230042,3.157251212,2.616634954,12.51555947,169.977371,191.4203973,1.511653786,3.69786747,0.175687299,2458991.896,20200522.4,2049.095195,5.610116892,1.6145,628.314965,4.11E-08,1.26E-08,1.31E-07,4.47E-06,1.78E-05,2.10E-05,1.24E-05,1.47E-08,1.05E-09,7.04E-05,1.23E-05,MBA,0.47288
a0000315,2000315,   315 Constantia,315,Constantia,,N,N,12.5,6.534,0.217,0.068,JPL 38,2459000.5,59000,20200531,J2000,0.168118417,2.241672118,1.864805749,2.428663128,161.6275769,172.9081397,137.7567151,2.618538486,0.293660774,2458531.398,20190216.9,1225.904282,3.356343003,0.854865,332.6878121,3.27E-08,5.50E-09,7.32E-08,3.67E-06,8.36E-05,8.43E-05,1.22E-05,6.42E-09,1.08E-09,4.09E-05,4.51E-06,MBA,0.43115
a0000316,2000316,   316 Goberta,316,Goberta,,N,N,10.1,56.067,0.061,0.642,JPL 50,2459000.5,59000,20200531,J2000,0.13243449,3.188007084,2.765804993,2.341585258,123.8213637,315.5224104,198.3458272,3.610209176,0.173151061,2459934.102,20221220.6,2079.109408,5.692291329,1.78208,693.5320736,3.17E-08,1.19E-08,9.89E-08,3.42E-06,9.78E-05,9.90E-05,1.51E-05,1.35E-08,9.70E-10,8.91E-05,1.16E-05,MBA,0.43049
a0000317,2000317,   317 Roxane,317,Roxane,,N,N,9.8,18.648,0.926,0.162,JPL 41,2459000.5,59000,20200531,J2000,0.08503196,2.286630251,2.092193599,1.765722712,151.3479524,186.8883055,78.45916043,2.481066903,0.285042853,2458725.246,20190829.75,1262.967991,3.457817909,1.08284,421.4088428,3.60E-08,4.22E-09,8.20E-08,3.89E-06,0.00012422,0.00012626,2.25E-05,4.58E-09,7.89E-10,7.89E-05,3.50E-06,MBA,0.45314
a0000318,2000318,   318 Magdalena,318,Magdalena,,N,N,9.4,85,0.054,,JPL 37,2459000.5,59000,20200531,J2000,0.084592729,3.194999425,2.924725705,10.65569407,161.4884223,296.0955891,40.82340614,3.465273145,0.172582954,2458763.956,20191007.46,2085.953406,5.711029175,1.96103,763.1740451,3.31E-08,1.21E-08,1.07E-07,4.01E-06,1.93E-05,3.03E-05,2.26E-05,1.32E-08,9.83E-10,0.00013122,1.19E-05,MBA,0.42368
a0000319,2000319,   319 Leona,319,Leona,,N,N,10.2,49.943,0.085,0.477,JPL 45,2459000.5,59000,20200531,J2000,0.216542327,3.403962289,2.666860373,10.56291637,184.9363629,228.096048,178.6115093,4.141064204,0.156937584,2457862.395,20170418.89,2293.905575,6.280371185,1.69116,658.1487372,3.35E-08,1.25E-08,1.12E-07,3.61E-06,1.87E-05,1.99E-05,8.36E-06,1.52E-08,8.66E-10,5.01E-05,1.27E-05,OMB,0.4472
a0000320,2000320,   320 Katharina,320,Katharina,,N,N,10.8,23.362,0.155,0.465,JPL 37,2459000.5,59000,20200531,J2000,0.117245366,3.009608345,2.656745712,9.379640492,219.918063,149.6351289,220.3368863,3.362470978,0.188772662,2459740.348,20220609.85,1907.055799,5.221234221,1.66213,646.8511321,3.55E-08,1.21E-08,1.09E-07,3.95E-06,2.18E-05,2.65E-05,1.65E-05,1.36E-08,1.14E-09,8.96E-05,1.15E-05,MBA,0.44768
a0000321,2000321,   321 Florentina,321,Florentina,,N,N,10.1,27.974,0.425,0.103,JPL 40,2459000.5,59000,20200531,J2000,0.046792445,2.885722257,2.750692257,2.586854696,40.21613348,35.95306488,43.92163343,3.020752256,0.201058427,2458782.048,20191025.55,1790.524304,4.902188376,1.76623,687.3637291,3.54E-08,1.07E-08,1.03E-07,4.14E-06,9.10E-05,0.00010303,4.72E-05,1.12E-08,1.12E-09,0.00023496,9.96E-06,MBA,0.43185
a0000322,2000322,   322 Phaeo,322,Phaeo,,N,N,9.1,69.855,0.089,0.32,JPL 43,2459000.5,59000,20200531,J2000,0.245653221,2.783240406,2.099528435,8.05171275,252.3675108,114.7307532,280.8036282,3.466952377,0.212264806,2459373.602,20210608.1,1695.994767,4.643380607,1.11417,433.6015389,3.74E-08,6.55E-09,1.05E-07,3.98E-06,3.09E-05,3.18E-05,8.53E-06,8.16E-09,7.49E-10,4.08E-05,5.99E-06,MBA,0.43796
a0000323,2000323,   323 Brucia,323,Brucia,,N,N,9.5,27.714,0.295,0.3,JPL 35,2459000.5,59000,20200531,J2000,0.298989405,2.382533916,1.670181519,24.25498322,97.31427152,291.5299985,14.27607041,3.094886312,0.268006568,2458947.232,20200407.73,1343.250665,3.67761989,0.808806,314.763031,4.22E-08,7.63E-09,1.00E-07,4.84E-06,1.17E-05,1.39E-05,1.11E-05,9.92E-09,1.29E-09,4.12E-05,6.46E-06,MBA,0.41221
a0000324,2000324,   324 Bamberga,324,Bamberga,,N,N,7,220.691,0.05,1.441,JPL 139,2459000.5,59000,20200531,J2000,0.34097127,2.680584607,1.76658227,11.1042971,327.8555735,44.23411007,179.7168773,3.594586944,0.224574166,2458200.244,20180322.74,1603.033897,4.388867617,0.783922,305.0789247,1.81E-08,2.97E-09,4.89E-08,2.37E-06,1.13E-05,1.19E-05,4.41E-06,3.98E-09,3.73E-10,1.87E-05,2.66E-06,MBA,0.55686
a0000325,2000325,   325 Heidelberga,325,Heidelberga,,N,N,8.7,75.72,0.1068,1.7,JPL 63,2459000.5,59000,20200531,J2000,0.153589732,3.224122759,2.728930609,8.548029837,344.3566926,69.49691921,246.0539986,3.719314909,0.170249843,2459669.787,20220331.29,2114.539396,5.789293349,1.75466,682.8610322,4.12E-08,1.63E-08,1.28E-07,3.93E-06,2.97E-05,3.33E-05,1.54E-05,1.88E-08,1.29E-09,9.31E-05,1.60E-05,OMB,0.36633
a0000326,2000326,   326 Tamara,326,Tamara,,N,N,9.4,93,0.0368,1.7,96,2459000.5,59000,20200531,J2000,0.190346291,2.317135897,1.876077674,23.7262554,32.18532653,238.4982842,57.38668578,2.75819412,0.279432435,2458795.131,20191107.63,1288.325743,3.527243649,0.943809,367.3021485,3.98E-08,6.14E-09,9.32E-08,5.10E-06,9.48E-06,1.66E-05,1.57E-05,7.31E-09,1.11E-09,5.57E-05,5.12E-06,MBA,0.45817
a0000327,2000327,   327 Columbia,327,Columbia,,N,N,10,30.291,0.214,4.049,JPL 35,2459000.5,59000,20200531,J2000,0.06097356,2.776816332,2.607503954,7.14031843,354.7595926,307.3855366,150.4300908,2.94612871,0.213001833,2458294.262,20180624.76,1690.126298,4.627313615,1.60014,622.7264838,3.59E-08,9.83E-09,9.85E-08,4.17E-06,3.14E-05,4.82E-05,3.80E-05,1.04E-08,1.13E-09,0.00017782,8.97E-06,MBA,0.38629
a0000328,2000328,   328 Gudrun,328,Gudrun,,N,N,8.8,145.68,0.025,0.69,JPL 33,2459000.5,59000,20200531,J2000,0.106008454,3.113032485,2.783024724,16.1125555,351.9273739,106.1438568,214.5575176,3.443040246,0.179443857,2459811.018,20220819.52,2006.198521,5.492672199,1.85111,720.3964787,3.78E-08,1.68E-08,1.17E-07,5.21E-06,1.55E-05,2.96E-05,2.43E-05,1.86E-08,1.46E-09,0.00013545,1.63E-05,MBA,0.36438
a0000329,2000329,   329 Svea,329,Svea,,N,N,9.6,81.057,0.039,0.5,JPL 59,2459000.5,59000,20200531,J2000,0.024376515,2.47686901,2.416491576,15.87905504,178.4646611,54.91734454,277.4964097,2.537246443,0.252842173,2459326.805,20210422.3,1423.813105,3.89818783,1.43269,557.5599673,3.10E-08,6.28E-09,7.90E-08,3.29E-06,1.32E-05,7.93E-05,7.82E-05,6.43E-09,9.61E-10,0.00030963,5.41E-06,MBA,0.42024
a0000330,2000330,   330 Adalberta (A910 CB),330,Adalberta,,N,N,12.4,9.111,0.256,0.303,JPL 37,2459000.5,59000,20200531,J2000,0.25283448,2.468498308,1.844376823,6.757077701,137.1168117,259.1022566,229.1603775,3.092619793,0.254129349,2459515.354,20211027.85,1416.601436,3.878443356,0.865397,336.7865505,3.36E-08,7.76E-09,8.51E-08,3.64E-06,3.00E-05,3.08E-05,8.19E-06,9.72E-09,1.20E-09,3.34E-05,6.68E-06,MBA,0.44215
a0000331,2000331,   331 Etheridgea,331,Etheridgea,,N,N,9.7,74.92,0.0447,2.7,JPL 36,2459000.5,59000,20200531,J2000,0.096131825,3.024877384,2.734090399,6.036706053,21.86304709,333.4094973,350.3552052,3.315664369,0.187345131,2459051.981,20200721.48,1921.587165,5.261018931,1.73146,673.8322882,3.71E-08,1.26E-08,1.12E-07,4.15E-06,3.85E-05,4.39E-05,2.23E-05,1.38E-08,1.17E-09,0.0001192,1.20E-05,MBA,0.44745
a0000332,2000332,   332 Siri,332,Siri,,N,N,9.7,40.37,0.1719,1.8,JPL 41,2459000.5,59000,20200531,J2000,0.088073462,2.774153085,2.529823819,2.844655497,31.55964138,297.5986355,123.6895216,3.01848235,0.213308637,2458420.638,20181029.14,1687.695378,4.62065812,1.52028,591.6473676,3.55E-08,9.03E-09,9.80E-08,4.03E-06,7.75E-05,8.09E-05,2.34E-05,9.83E-09,1.04E-09,0.00010966,8.24E-06,MBA,0.45089
a0000333,2000333,   333 Badenia (1892 A),333,Badenia,,N,N,9.4,72.199,0.047,0.259,JPL 41,2459000.5,59000,20200531,J2000,0.159480208,3.130698909,2.631414395,3.739315203,353.1646042,22.7854783,20.07031104,3.629983423,0.177927109,2458887.699,20200208.2,2023.300457,5.53949475,1.63313,635.5652021,3.52E-08,1.15E-08,1.11E-07,4.36E-06,5.67E-05,5.80E-05,1.24E-05,1.34E-08,9.82E-10,6.97E-05,1.12E-05,MBA,0.46672
a0000334,2000334,   334 Chicago (1892 L),334,Chicago,,N,N,7.7,198.77,0.041,5.668,JPL 156,2459000.5,59000,20200531,J2000,0.023761487,3.888518956,3.796121962,4.64353468,130.1687311,149.8271095,288.4435811,3.980915949,0.128536877,2459557.2,20211208.7,2800.752662,7.668042881,2.78072,1082.172802,3.88E-08,2.15E-08,1.53E-07,4.37E-06,5.20E-05,0.00010135,8.85E-05,2.20E-08,1.06E-09,0.0006893,2.32E-05,OMB,0.44673
a0000335,2000335,   335 Roberta (1892 C),335,Roberta,,N,N,9.1,97.109,0.049,0.85,JPL 53,2459000.5,59000,20200531,J2000,0.173125312,2.475825427,2.047197377,5.101355255,148.4289077,139.9952389,349.7874175,2.904453477,0.253002053,2459040.866,20200710.37,1422.913354,3.895724446,1.0341,402.440697,2.84E-08,5.20E-09,6.99E-08,2.99E-06,3.81E-05,3.95E-05,1.12E-05,6.10E-09,7.97E-10,4.41E-05,4.48E-06,MBA,0.4448
a0000336,2000336,   336 Lacadiera (1892 D),336,Lacadiera,,N,N,9.8,63.356,0.044,0.903,JPL 101,2459000.5,59000,20200531,J2000,0.095872282,2.252213641,2.03628878,5.652409694,235.0317784,31.3303904,12.35485363,2.468138502,0.291601462,2458958.131,20200418.63,1234.561711,3.380045753,1.02302,398.1286934,3.26E-08,4.91E-09,7.39E-08,3.78E-06,3.37E-05,3.91E-05,2.13E-05,5.38E-09,9.53E-10,7.31E-05,4.03E-06,MBA,0.42398
a0000337,2000337,   337 Devosa (1892 E),337,Devosa,,N,N,8.8,64.549,0.135,1.303,JPL 78,2459000.5,59000,20200531,J2000,0.136224724,2.384928078,2.060041909,7.851798176,355.4117412,98.80605275,184.5421274,2.709814246,0.267603102,2459656.165,20220317.66,1345.275883,3.683164636,1.09387,425.7013879,3.17E-08,3.90E-09,7.51E-08,3.37E-06,2.54E-05,2.94E-05,1.41E-05,4.43E-09,6.56E-10,5.33E-05,3.30E-06,MBA,0.49952
a0000338,2000338,   338 Budrosa (1892 F),338,Budrosa,,N,N,8.5,50.506,0.276,0.479,JPL 76,2459000.5,59000,20200531,J2000,0.021540298,2.91334,2.850585788,6.050120212,287.4193564,109.1378052,221.5936404,2.976094212,0.198206237,2459698.795,20220429.29,1816.289969,4.972730922,1.86443,725.5802231,4.00E-08,9.41E-09,1.16E-07,4.34E-06,4.08E-05,0.00010842,0.00010051,9.61E-09,9.60E-10,0.00050772,8.80E-06,MBA,0.47014
a0000339,2000339,   339 Dorothea (1892 G),339,Dorothea,,N,N,9.4,44.329,0.198,0.27,JPL 39,2459000.5,59000,20200531,J2000,0.098108963,3.012331878,2.716795123,9.96420623,173.4861578,164.4087862,175.4448699,3.307868634,0.188516708,2458069.84,20171112.34,1909.645059,5.228323228,1.7097,665.363949,3.54E-08,1.16E-08,1.06E-07,3.93E-06,2.19E-05,2.95E-05,2.08E-05,1.28E-08,1.09E-09,0.00010969,1.10E-05,MBA,0.39946
a0000340,2000340,   340 Eduarda (1892 H),340,Eduarda,,N,N,9.9,28.025,0.247,0.456,JPL 31,2459000.5,59000,20200531,J2000,0.116200971,2.745749709,2.426690926,4.66814591,26.96556972,43.15859586,325.1722149,3.064808491,0.216627035,2459161.273,20201107.77,1661.842441,4.549876636,1.44335,561.7085195,3.28E-08,9.57E-09,9.05E-08,4.37E-06,4.66E-05,5.06E-05,2.01E-05,1.07E-08,1.13E-09,9.31E-05,8.69E-06,MBA,0.43504
a0000341,2000341,   341 California (1892 J),341,California,,N,N,11.3,15.83,0.425,0.82,JPL 79,2459000.5,59000,20200531,J2000,0.194029406,2.199438601,1.772682836,5.66642263,29.02988398,293.7235729,78.85508653,2.626194366,0.302159539,2458739.528,20190913.03,1191.42358,3.261939986,0.770069,299.6877527,3.33E-08,4.65E-09,7.37E-08,3.83E-06,3.40E-05,3.50E-05,8.65E-06,5.55E-09,9.58E-10,2.85E-05,3.78E-06,MBA,0.42399
a0000342,2000342,   342 Endymion (1892 K),342,Endymion,,N,N,10.3,64.266,0.038,0.497,JPL 47,2459000.5,59000,20200531,J2000,0.129585628,2.568002435,2.235226228,7.35252667,232.6667223,225.141052,310.5068348,2.900778643,0.239502983,2459207.149,20201223.65,1503.112802,4.115298569,1.25879,489.8833043,3.11E-08,7.25E-09,7.89E-08,3.30E-06,3.06E-05,3.43E-05,1.71E-05,8.19E-09,1.01E-09,7.19E-05,6.37E-06,MBA,0.40074
a0000343,2000343,   343 Ostara (1892 N),343,Ostara,,N,N,11.7,18.213,0.092,0.077,JPL 43,2459000.5,59000,20200531,J2000,0.229177219,2.411900326,1.859147717,3.259185863,38.59011195,10.28268283,24.08483117,2.964652935,0.263126773,2458908.967,20200229.47,1368.161802,3.745822868,0.869438,338.3591865,2.68E-08,5.54E-09,6.55E-08,3.30E-06,6.54E-05,6.60E-05,8.81E-06,6.81E-09,9.06E-10,3.34E-05,4.71E-06,MBA,0.40582
a0000344,2000344,   344 Desiderata (1892 M),344,Desiderata,,N,N,8.3,124.181,0.067,2.516,JPL 91,2459000.5,59000,20200531,J2000,0.313732494,2.596625746,1.781979876,18.3451842,48.02627985,237.5813631,270.6663312,3.411271616,0.235553757,2459379.75,20210614.25,1528.313556,4.184294472,0.832467,323.9711824,3.63E-08,8.74E-09,9.33E-08,4.48E-06,9.20E-06,1.21E-05,1.08E-05,1.15E-08,1.19E-09,4.74E-05,7.72E-06,MBA,0.46015
a0000345,2000345,   345 Tercidina (1892 O),345,Tercidina,,N,N,8.9,90.243,0.037,0.981,JPL 116,2459000.5,59000,20200531,J2000,0.061469257,2.324984881,2.182069788,9.744058443,212.6012619,231.3719342,316.6935676,2.467899974,0.278018614,2459156.268,20201102.77,1294.877327,3.545180909,1.20968,470.7711656,3.41E-08,3.67E-09,7.95E-08,3.50E-06,2.07E-05,3.51E-05,2.92E-05,3.90E-09,6.58E-10,0.00010504,3.07E-06,MBA,0.47946
a0000346,2000346,   346 Hermentaria (1892 P),346,Hermentaria,,N,N,7.3,86.447,0.332,1.926,JPL 36,2459000.5,59000,20200531,J2000,0.102139724,2.795981714,2.510400913,8.752209228,91.94078256,291.9503552,123.9037651,3.081562516,0.210815522,2458412.765,20181021.26,1707.654147,4.67530225,1.53087,595.7686779,3.73E-08,8.78E-09,1.04E-07,4.24E-06,2.82E-05,3.55E-05,2.21E-05,9.67E-09,9.93E-10,0.00010439,8.04E-06,MBA,0.53426
a0000347,2000347,   347 Pariana (1892 Q),347,Pariana,,N,N,9,48.615,0.19,0.118,JPL 88,2459000.5,59000,20200531,J2000,0.166206361,2.611571376,2.177511601,11.68085436,85.51357859,86.1390795,335.1897332,3.04563115,0.233534595,2459106.738,20200914.24,1541.5275,4.220472278,1.22047,474.9703099,3.66E-08,6.97E-09,9.61E-08,3.95E-06,1.86E-05,2.22E-05,1.30E-05,8.13E-09,9.35E-10,5.56E-05,6.17E-06,MBA,0.35711
a0000348,2000348,   348 May (1892 R),348,May,,N,N,9.4,82.82,0.0448,2.2,JPL 38,2459000.5,59000,20200531,J2000,0.070605068,2.968083509,2.758521772,9.758933865,89.91427862,13.8647278,291.0188208,3.177645246,0.192748009,2459358.383,20210523.88,1867.723576,5.113548462,1.77643,691.3332631,3.33E-08,1.04E-08,9.97E-08,3.69E-06,2.20E-05,3.42E-05,2.64E-05,1.12E-08,1.02E-09,0.00013708,9.86E-06,MBA,0.43505
a0000349,2000349,   349 Dembowska (1892 T),349,Dembowska,,N,N,5.9,139.77,0.384,4.3,JPL 111,2459000.5,59000,20200531,J2000,0.09152606,2.922928311,2.6554042,8.245614733,32.33973714,345.5466733,223.6637281,3.190452423,0.19723175,2459691.749,20220422.25,1825.263935,4.9973003,1.65859,645.4734703,3.21E-08,5.27E-09,9.35E-08,3.43E-06,2.58E-05,3.29E-05,2.15E-05,5.75E-09,5.33E-10,0.00010935,4.93E-06,MBA,0.58816
a0000350,2000350,   350 Ornamenta (1892 U),350,Ornamenta,,N,N,8.5,128.729,0.048,1.197,JPL 43,2459000.5,59000,20200531,J2000,0.159453555,3.110234182,2.614296284,24.89212987,90.09597066,337.9830096,69.07077771,3.606172081,0.179686082,2458616.103,20190512.6,2003.494073,5.485267824,1.64138,638.7758546,4.33E-08,1.04E-08,1.34E-07,4.76E-06,9.22E-06,1.49E-05,1.21E-05,1.20E-08,8.99E-10,6.63E-05,1.00E-05,MBA,0.43782
a0000351,2000351,   351 Yrsa (1892 V),351,Yrsa,,N,N,9,39.72,0.286,0.437,JPL 41,2459000.5,59000,20200531,J2000,0.155239827,2.764634785,2.335453359,9.207163797,99.1994125,31.88240204,219.23484,3.193816211,0.214411177,2459657.02,20220318.52,1679.016944,4.596897863,1.35613,527.7651121,3.93E-08,7.96E-09,1.08E-07,4.56E-06,2.86E-05,3.23E-05,1.56E-05,9.19E-09,9.26E-10,7.39E-05,7.25E-06,MBA,0.43871
a0000352,2000352,   352 Gisela (1893 B),352,Gisela,,N,N,10.1,26.744,0.195,0.786,JPL 37,2459000.5,59000,20200531,J2000,0.149828944,2.193773696,1.865082899,3.384711873,247.2797284,144.6105936,138.7483091,2.522464492,0.303330679,2458543.084,20190228.58,1186.823574,3.249345856,0.872264,339.4589809,3.64E-08,4.43E-09,8.01E-08,3.39E-06,7.79E-05,7.91E-05,1.47E-05,5.10E-09,9.19E-10,4.79E-05,3.60E-06,MBA,0.46828
a0000353,2000353,   353 Ruperto-Carola (1893 F),353,Ruperto-Carola,,N,N,10.9,14.025,0.392,0.784,JPL 35,2459000.5,59000,20200531,J2000,0.327639677,2.734790207,1.838764428,5.708297986,102.4707388,321.3444375,90.74073445,3.630815986,0.217930517,2458584.125,20190410.63,1651.902654,4.522662981,0.856381,333.2777938,2.87E-08,8.27E-09,7.85E-08,3.43E-06,4.17E-05,4.21E-05,7.26E-06,1.10E-08,9.88E-10,3.23E-05,7.49E-06,MBA,0.36141
a0000354,2000354,   354 Eleonora (1893 A),354,Eleonora,,N,N,6.44,148.97,0.201,0.425,JPL 99,2459000.5,59000,20200531,J2000,0.113748369,2.797819767,2.479572332,18.40107511,140.3539322,5.562309436,58.46469831,3.116067202,0.21060781,2458722.9,20190827.4,1709.338317,4.679913258,1.49257,580.8634669,2.10E-08,4.62E-09,5.87E-08,2.41E-06,9.77E-06,1.70E-05,1.51E-05,5.14E-09,5.21E-10,7.12E-05,4.23E-06,MBA,0.58223
a0000355,2000355,   355 Gabriella (1893 E),355,Gabriella,,N,N,10.2,24.04,0.341,0.28,JPL 36,2459000.5,59000,20200531,J2000,0.105327924,2.539952881,2.272424917,4.282543842,351.7063836,106.2758802,191.5557565,2.807480845,0.243481284,2459692.316,20220422.82,1478.553068,4.048057682,1.29373,503.4809041,3.90E-08,7.64E-09,9.86E-08,3.89E-06,6.10E-05,6.43E-05,2.06E-05,8.44E-09,1.10E-09,8.48E-05,6.67E-06,MBA,0.4328
a0000356,2000356,   356 Liguria (1893 G),356,Liguria,,N,N,8.3,145.503,0.065,1.441,JPL 67,2459000.5,59000,20200531,J2000,0.240510974,2.755395156,2.092692382,8.204481415,354.510775,79.41650739,329.4592487,3.41809793,0.215490554,2459142.227,20201019.73,1670.606869,4.573872331,1.1257,438.088669,3.46E-08,7.05E-09,9.64E-08,5.05E-06,2.84E-05,3.04E-05,1.15E-05,8.75E-09,8.27E-10,5.38E-05,6.41E-06,MBA,0.46893
a0000357,2000357,   357 Ninina (1893 J),357,Ninina,,N,N,8.8,124.107,0.037,0.857,JPL 53,2459000.5,59000,20200531,J2000,0.076735487,3.151090544,2.909290076,15.05458407,137.6466149,255.3783793,29.94000944,3.392891012,0.176202778,2458830.582,20191213.08,2043.100596,5.593704575,1.95706,761.6290402,3.30E-08,1.20E-08,1.04E-07,3.48E-06,1.43E-05,2.74E-05,2.34E-05,1.29E-08,1.01E-09,0.00013298,1.17E-05,MBA,0.40882
a0000358,2000358,   358 Apollonia (1893 K),358,Apollonia,,N,N,9.2,90.116,0.05,0.807,JPL 58,2459000.5,59000,20200531,J2000,0.152906459,2.875745235,2.436025215,3.554354761,172.1472306,252.9730345,102.5680889,3.315465255,0.202105653,2458493.003,20190109.5,1781.246566,4.876787313,1.45243,565.2421831,2.98E-08,8.37E-09,8.51E-08,4.06E-06,5.22E-05,5.39E-05,1.32E-05,9.65E-09,8.82E-10,6.50E-05,7.78E-06,MBA,0.46528
a0000359,2000359,   359 Georgia (1893 M),359,Georgia,,N,N,9.3,43.89,0.2621,4.2,JPL 93,2459000.5,59000,20200531,J2000,0.157570262,2.727602268,2.297813263,6.77166805,6.054411719,338.2396445,270.563991,3.157391272,0.21879254,2459409.271,20210713.77,1645.39431,4.504844107,1.29226,502.9088242,3.26E-08,8.52E-09,8.76E-08,3.81E-06,3.34E-05,3.62E-05,1.57E-05,9.86E-09,1.02E-09,7.27E-05,7.71E-06,MBA,0.44831
a0000360,2000360,   360 Carlova (1893 N),360,Carlova,,N,N,8.5,129.125,0.043,2.832,JPL 50,2459000.5,59000,20200531,J2000,0.173953168,3.009027381,2.485597537,11.73544254,132.1982083,289.2135083,254.067372,3.532457225,0.188827335,2459561.503,20211213,1906.503629,5.219722462,1.52868,594.9163956,3.55E-08,1.38E-08,1.03E-07,3.71E-06,1.75E-05,2.03E-05,1.26E-05,1.61E-08,1.29E-09,6.84E-05,1.31E-05,MBA,0.41051
a0000361,2000361,   361 Bononia (1893 P),361,Bononia,,N,N,8.4,154.334,0.038,2.69,JPL 92,2459000.5,59000,20200531,J2000,0.212020719,3.960400232,3.120713326,12.61691082,18.85456643,68.54015924,144.3752211,4.800087138,0.125053387,2457845.991,20170402.49,2878.770495,7.881644064,2.16609,842.9772453,3.77E-08,2.41E-08,1.47E-07,5.34E-06,1.89E-05,2.25E-05,1.21E-05,2.92E-08,1.14E-09,9.33E-05,2.63E-05,OMB,0.41669
a0000362,2000362,   362 Havnia (1893 R),362,Havnia,,N,N,9.1,98,0.052,,JPL 78,2459000.5,59000,20200531,J2000,0.043901874,2.57897957,2.465757534,8.063041651,27.32292939,31.672105,13.69100132,2.692201606,0.237975485,2458942.969,20200403.47,1512.760861,4.141713513,1.47985,575.9132245,3.37E-08,6.49E-09,8.59E-08,4.39E-06,2.69E-05,5.93E-05,5.18E-05,6.78E-09,8.98E-10,0.00021752,5.71E-06,MBA,0.46223
a0000363,2000363,   363 Padua (1893 S),363,Padua,,N,N,9.1,97,0.059,,JPL 106,2459000.5,59000,20200531,J2000,0.071286723,2.747801368,2.551919614,5.946382522,64.74200591,296.1712498,136.0699696,2.943683122,0.216384461,2458371.666,20180910.17,1663.705414,4.554977179,1.55617,605.6146789,2.30E-08,8.13E-09,6.09E-08,9.96E-07,5.35E-06,1.55E-05,1.49E-05,8.71E-09,9.61E-10,6.72E-05,7.39E-06,MBA,0.25545
